Comment,Designator,Footprint,LCSC,Quantity
0.1u,C18,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
10k,R15,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
0.1u,C8,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
4.7u,C15,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
1.1k,R11,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
MBR0530,D6,D_SOD-123,,1
1k,R16,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
4.7u,C10,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
0.1u,C34,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
47k,R18,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
MBR0530,D5,D_SOD-123,,1
4.7u,C11,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
4.7u,C13,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
10k,R17,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
47k,R19,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
0.1u,C20,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
0.1u,C19,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
47k,R10,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
0.1u,C12,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
100k,R12,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
3,R14,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
AO3401A,Q5,SOT-23_Handsoldering,,1
MBR0530,D4,D_SOD-123,,1
Si1308EDL,Q4,SOT-323_SC-70_Handsoldering,,1
47k,R20,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
0.1u,C35,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
0.1u,C21,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
SS8050,Q6,SOT-23,,1
4.7u,C17,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
4.7u,C37,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
4.7u,C2,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
0.1u,C33,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
1.1k,R4,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
5.1k,R3,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
ESD5Zxx,D1,D_SOD-523,,1
0.1u,C22,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
10k,R54,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
890,R5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
1n,C1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
10k,R55,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
0.1u,C5,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
Micro_SD_Card,J7,microSD_HC_Hirose_DM3AT-SF-PEJM5,,1
4.7u,C6,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
10k,R9,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
10k,R53,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
Conn_01x02,J5,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,,1
68u,L1,L_Changjiang_FNR6028S,,1
4.7u,C16,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
BQ24074RGT,U2,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,,1
0.1u,C36,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
1M,R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
AP2112K-3.3,U3,SOT-23-5_HandSoldering,,1
4.7u,C14,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
10k,R7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
4.7u,C3,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
USB_C_Receptacle,J1,USB_C_Receptacle_Amphenol_12401610E4-2A,,1
IRLML6402,Q3,SOT-23_Handsoldering,,1
Conn_01x24,J3,24pin0.5mm,,1
22u,C4,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
10k,R8,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
22u,C32,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
5.1k,R2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
10k,R6,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
ESD5Zxx,D2,D_SOD-523,,1
ESD5Zxx,D3,D_SOD-523,,1
