Ref,Val,Package,PosX,PosY,Rot,Side
"C8","0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",118.938840,-119.000000,0.000000,top
"C10","4.7u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",146.938840,-102.000000,180.000000,top
"C11","4.7u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",141.938840,-103.500000,0.000000,top
"C12","0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",146.438840,-81.000000,180.000000,top
"C13","4.7u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",132.438840,-134.500000,90.000000,top
"C15","4.7u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",129.438840,-134.500000,90.000000,top
"C17","4.7u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",139.938840,-134.500000,90.000000,top
"C18","0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",136.938840,-134.500000,90.000000,top
"C19","0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",134.438840,-134.500000,90.000000,top
"C20","0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",126.938840,-134.500000,90.000000,top
"C21","0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",142.438840,-134.500000,90.000000,top
"C34","0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",144.438840,-56.500000,-90.000000,top
"C35","0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",166.938840,-54.000000,0.000000,top
"D4","MBR0530","D_SOD-123",136.438840,-99.500000,180.000000,top
"D5","MBR0530","D_SOD-123",136.438840,-108.000000,180.000000,top
"D6","MBR0530","D_SOD-123",136.438840,-103.500000,0.000000,top
"L1","68u","L_0805_2012Metric_Pad1.05x1.20mm_HandSolder",144.938840,-99.500000,180.000000,top
"Q4","Si1308EDL","SOT-323_SC-70_Handsoldering",143.438840,-109.500000,-90.000000,top
"Q5","AO3401A","SOT-23_Handsoldering",146.438840,-94.500000,-90.000000,top
"Q6","SS8050","SOT-23",141.438840,-86.000000,0.000000,top
"R10","470k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",118.938840,-124.000000,0.000000,top
"R11","1.1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",122.438840,-127.000000,90.000000,top
"R12","1M","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",118.438840,-131.500000,90.000000,top
"R14","3","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",146.938840,-111.000000,-90.000000,top
"R15","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",146.938840,-106.500000,-90.000000,top
"R16","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",146.438840,-84.000000,0.000000,top
"R17","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",146.438840,-77.500000,180.000000,top
"R18","47k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",151.438840,-80.500000,180.000000,top
"R19","47k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",151.438840,-77.500000,0.000000,top
"R20","47k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",150.438840,-85.000000,-90.000000,top
"SW1","SW_Push","SW_SPST_TS-1088-xR025",168.438840,-130.000000,-90.000000,top
"SW2","SW_Push","SW_SPST_TS-1088-xR025",155.438840,-47.000000,180.000000,top
"SW3","SW_Push","SW_SPST_TS-1088-xR025",123.938840,-47.000000,0.000000,top
"SW4","SW_Push","SW_SPST_TS-1088-xR025",168.438840,-109.500000,90.000000,top
"SW5","SW_Push","SW_SPST_TS-1088-xR025",111.438840,-130.500000,-90.000000,top
"SW7","SW_Push","SW_SPST_TS-1088-xR025",111.438840,-109.500000,90.000000,top
